region,west,east,south,north,VendorID_Count
1075,-74.0222464,-74.0111348,40.6974368,40.705825,66.88963660834455
1076,-74.0222464,-74.0111348,40.705825,40.7142132,138.4522207267833
1077,-74.0222464,-74.0111348,40.7142132,40.722601399999995,87.27162162162162
1125,-74.0111348,-74.0000232,40.6974368,40.705825,66.04166666666667
1126,-74.0111348,-74.0000232,40.705825,40.7142132,181.89247311827958
1127,-74.0111348,-74.0000232,40.7142132,40.722601399999995,267.10215053763443
1128,-74.0111348,-74.0000232,40.722601399999995,40.7309896,295.369623655914
1129,-74.0111348,-74.0000232,40.7309896,40.7393778,339.0873655913978
1130,-74.0111348,-74.0000232,40.7393778,40.747766,420.6290322580645
1131,-74.0111348,-74.0000232,40.747766,40.756154200000005,144.29032258064515
1132,-74.0111348,-74.0000232,40.756154200000005,40.7645424,46.550561797752806
1172,-74.0000232,-73.9889116,40.6722722,40.6806604,7.040114613180516
1173,-74.0000232,-73.9889116,40.6806604,40.68904860000001,22.34543010752688
1174,-74.0000232,-73.9889116,40.68904860000001,40.6974368,25.734143049932523
1175,-74.0000232,-73.9889116,40.6974368,40.705825,11.768033946251768
1176,-74.0000232,-73.9889116,40.705825,40.7142132,20.257759784075574
1177,-74.0000232,-73.9889116,40.7142132,40.722601399999995,269.14112903225805
1178,-74.0000232,-73.9889116,40.722601399999995,40.7309896,417.40860215053766
1179,-74.0000232,-73.9889116,40.7309896,40.7393778,471.2029569892473
1180,-74.0000232,-73.9889116,40.7393778,40.747766,538.2567204301075
1181,-74.0000232,-73.9889116,40.747766,40.756154200000005,698.4180107526881
1182,-74.0000232,-73.9889116,40.756154200000005,40.7645424,405.7083333333333
1183,-74.0000232,-73.9889116,40.7645424,40.7729306,101.96102150537635
1184,-74.0000232,-73.9889116,40.7729306,40.781318799999994,20.4756446991404
1221,-73.9889116,-73.9778,40.663884,40.6722722,5.799072642967542
1222,-73.9889116,-73.9778,40.6722722,40.6806604,10.117006802721088
1223,-73.9889116,-73.9778,40.6806604,40.68904860000001,16.60242587601078
1224,-73.9889116,-73.9778,40.68904860000001,40.6974368,25.504032258064516
1225,-73.9889116,-73.9778,40.6974368,40.705825,5.860499265785609
1227,-73.9889116,-73.9778,40.7142132,40.722601399999995,162.09274193548387
1228,-73.9889116,-73.9778,40.722601399999995,40.7309896,317.5819892473118
1229,-73.9889116,-73.9778,40.7309896,40.7393778,420.0551075268817
1230,-73.9889116,-73.9778,40.7393778,40.747766,639.9274193548387
1231,-73.9889116,-73.9778,40.747766,40.756154200000005,657.9153225806451
1232,-73.9889116,-73.9778,40.756154200000005,40.7645424,742.611559139785
1233,-73.9889116,-73.9778,40.7645424,40.7729306,530.8938172043011
1234,-73.9889116,-73.9778,40.7729306,40.781318799999994,356.34139784946234
1235,-73.9889116,-73.9778,40.781318799999994,40.789707,154.53897849462365
1272,-73.9778,-73.96668840000001,40.6722722,40.6806604,8.575842696629213
1273,-73.9778,-73.96668840000001,40.6806604,40.68904860000001,11.919067215363512
1274,-73.9778,-73.96668840000001,40.68904860000001,40.6974368,7.443356643356643
1278,-73.9778,-73.96668840000001,40.722601399999995,40.7309896,13.741588156123822
1279,-73.9778,-73.96668840000001,40.7309896,40.7393778,30.331521739130434
1280,-73.9778,-73.96668840000001,40.7393778,40.747766,176.7258064516129
1281,-73.9778,-73.96668840000001,40.747766,40.756154200000005,627.2352150537635
1282,-73.9778,-73.96668840000001,40.756154200000005,40.7645424,858.6008064516129
1283,-73.9778,-73.96668840000001,40.7645424,40.7729306,228.1505376344086
